geo_label_citystate,People w/ Disabilities,Adult Physical Inactivity,Life Expectancy,Homicides,Violent Crime,Unemployment,Public Assistance,Service Workers,Excessive Housing Cost,Income Inequality,Racial Seg W/NW,Limited Internet Access,College Graduates,Renters vs Owners,Longer Summers,Poor Air Quality,Longer Driving Commute,Walking to Work,Riding Bike to Work,Limited Supermarket Access,Foreign Born Pop,Per-capita HH Income,Population Density,Uninsured All Ages,Transit
"Austin, TX",9.495778592,20.8,81.65576951,3.464729989,400.887571,4.486087169,7.502032733,24.64530762,28.61678787,0.485,29.59316073,19.89012,58.2253011,1.250094543,52.11071429,31.78082192,31.79673375,2.373933145,0.766289587,53.41073629,18.08646274,59427.0,2965.58549,12.41098065,2.073851401
"Baltimore, MD",16.47616857,30.0,73.07349715,42.42205709,1858.719876,6.551636797,24.71828513,34.48015677,32.81379685,0.5139,57.52148165,31.39554046,35.42740539,1.104587788,36.06785714,26.1707989,40.92821198,5.618467061,0.621501957,45.26728647,8.844528607,39195.0,7130.587353,5.778666437,11.47525722
"Boston, MA",12.11244422,26.9,81.40610184,5.725059544,607.2043277,6.011824345,19.80187382,26.79366905,32.55150135,0.5325,49.69847631,24.22262677,54.0651034,1.825701072,24.24642857,15.06849315,48.28816543,13.76189434,2.1498315,16.36890842,27.50612978,60001.0,13735.38563,3.048610437,24.02973821
"Charlotte, NC",8.264213337,22.8,80.3745622,9.668777525,739.4149916,4.414529327,10.40902797,32.64400711,26.20216007,0.5014,48.86891645,20.59035595,47.44775034,0.94092827,38.68055556,35.89041096,33.27478828,1.659622222,0.170325233,56.7278064,18.11814059,49991.0,2851.99579,12.85501426,2.205837625
"Chicago, IL",11.91232195,27.3,78.36689923,19.90987762,943.1620383,7.920285676,19.90402487,34.02715397,30.46748193,0.5235,57.39653309,27.53177948,43.32242079,1.195697261,35.05,58.90410959,56.44703751,5.707593069,1.372034628,24.63796178,20.70664281,48148.0,11888.79045,9.817318763,19.26711938
"Cleveland, OH",19.8725615,38.3,73.20972003,29.56787356,1516.647505,11.46300793,32.22849418,46.36726749,30.50364063,0.5075,50.21676325,29.43289274,21.32757868,1.429024081,42.075,48.49315068,24.40212709,5.26605671,0.517728474,46.74524586,6.076626497,27078.0,4727.865462,7.719226531,6.89635063
"Columbus, OH",12.24206986,29.4,77.47002269,12.42600108,503.354964,5.073771901,13.67578852,36.20270932,26.12596067,0.4457,40.7821398,17.14934756,38.22032196,1.256142542,37.875,33.15068493,23.32156006,2.571649916,0.368878186,60.1187379,14.40506134,37189.0,4106.823891,9.760455172,2.129709915
"Dallas, TX",11.36526445,32.3,78.70071858,11.66998747,862.9093483,4.926721949,12.66196751,39.13659413,30.97390718,0.5267,56.926209,24.89310437,37.42681082,1.360843225,38.65,37.80821918,38.51697815,2.183483919,0.157007387,50.98624251,23.3857334,44138.0,3825.855672,23.01048176,2.33775015
"Denver, CO",10.08742444,18.7,79.4429706,8.233467941,748.8946293,4.598887162,9.818616534,27.13129938,27.86927526,0.4883,45.22909494,20.99632844,55.64666503,1.035588112,0.0,50.95890411,36.70008354,3.919570387,1.61418167,48.13984142,13.84927718,61202.0,4662.668868,8.778534661,4.521395135
"Detroit, MI",19.5994769,37.5,73.88752511,37.72422095,1965.329419,14.14849525,38.87846703,52.92144001,32.61205259,0.5094,52.67967839,25.59021738,17.60589424,1.01074432,26.63392857,57.53424658,32.45394848,3.072800357,0.465832961,52.62888756,5.951520787,24029.0,4588.928373,7.526313123,5.992407325
